,college_name,no_of_applications,no_of_apps_accepted,no_of_enrolled,PctTop10HS,PctTop25HS,no_of_FT,no_of_PT,outstate_tuition,room_board_cost,books_cost,personal_spending,pct_phd_faculty,pct_termianl_faculty,sf_ratio,pct_alumni_donors,exp_per_student,total_misc_cost,accept_rate,is_private,grad_rate_round
472,Rowan College of New Jersey,0.077874742,0.051755655,0.103822558,0.210526316,0.67032967,0.163915693,0.180490039,0.104132231,0.480769231,0.31372549,0.083969466,0.747252747,0.75,0.525469169,0.09375,0.076649009,0.334085779,0.260319338,No,0.46
289,Knox College,0.019973757,0.029438647,0.039484033,0.494736842,0.747252747,0.026282377,0.001053355,0.692510331,0.359709962,0.135472371,0.083969466,0.879120879,0.934210526,0.273458445,0.515625,0.18922842,0.202257336,0.778237729,Yes,0.78
312,Lock Haven University of Pennsylvania,0.072667819,0.081613223,0.096901054,0.168421053,0.351648352,0.103193245,0.014838562,0.258884298,0.290037831,0.057486631,0.038167939,0.428571429,0.407894737,0.36461126,0.21875,0.060097649,0.098758465,0.551034891,No,0.6
32,Baker University,0.010851228,0.015652373,0.026899481,0.210526316,0.417582418,0.025996699,0.021296084,0.324380165,0.365699874,0.135472371,0.305343511,0.549450549,0.578947368,0.227882038,0.328125,0.055611062,0.37020316,0.766173862,Yes,0.62
152,Dana College,0.008810114,0.015614289,0.023596036,0.094736842,0.296703297,0.013045962,0.003801237,0.35072314,0.243064313,0.157754011,0.183206107,0.417582418,0.355263158,0.27077748,0.390625,0.103681641,0.197742664,0.948314607,Yes,0.49
260,Illinois College,0.016932914,0.027229797,0.035708668,0.284210526,0.593406593,0.024441341,0.001236547,0.294938017,0.32629256,0.22459893,0.114503817,0.736263736,0.671052632,0.351206434,0.46875,0.078458725,0.223476298,0.858426966,Yes,0.47
207,Freed-Hardeman University,0.016953742,0.018127809,0.043888627,0.2,0.494505495,0.032852971,0.002244104,0.16322314,0.245901639,0.22459893,0.20610687,0.659340659,0.684210526,0.36461126,0.203125,0.054517692,0.233634312,0.54145476,Yes,0.58
370,Monmouth College IL,0.0108304,0.016414045,0.026584867,0.284210526,0.527472527,0.016886745,0.00045798,0.550619835,0.365699874,0.135472371,0.032061069,0.912087912,0.881578947,0.243967828,0.671875,0.14894339,0.168171558,0.807096393,Yes,0.52
156,Defiance College,0.010205569,0.014814533,0.02186566,0.094736842,0.186813187,0.016061453,0.012915045,0.439566116,0.297919294,0.135472371,0.138778626,0.549450549,0.473684211,0.27613941,0.296875,0.081418365,0.198532731,0.772205795,Yes,0.52
532,St. Bonaventure University,0.029325391,0.047261787,0.053484348,0.126315789,0.395604396,0.04916836,0.005953744,0.419214876,0.496059269,0.180035651,0.122137405,0.912087912,0.881578947,0.407506702,0.5,0.12520972,0.339390519,0.860201064,Yes,0.76
687,University of Wisconsin at Milwaukee,0.107533376,0.141290273,0.298096586,0.115789474,0.307692308,0.362557136,0.340828944,0.332954545,0.186633039,0.211229947,0.264122137,0.78021978,0.828947368,0.35924933,0.125,0.092521726,0.230699774,0.670254287,No,0.31
73,Cabrini College,0.010788745,0.016071293,0.029731005,0.073684211,0.208791209,0.028440833,0.020380124,0.422417355,0.704602774,0.090909091,0.007633588,0.56043956,0.684210526,0.375335121,0.5625,0.074104096,0.381489842,0.792667061,Yes,0.69
187,Emory University,0.175473309,0.155990555,0.188925594,0.789473684,0.967032967,0.171565515,0.008747424,0.78822314,0.66519546,0.22459893,0.094656489,0.978021978,0.973684211,0.067024129,0.4375,0.476388863,0.451467269,0.396806623,Yes,0.97
178,Eastern Mennonite College,0.008435215,0.014014776,0.030202926,0.189473684,0.428571429,0.024250889,0.002656286,0.377582645,0.318411097,0.22459893,0.160305344,0.417582418,0.539473684,0.238605898,0.453125,0.131996154,0.251693002,0.887995269,Yes,0.81
202,Fort Lewis College,0.069960219,0.104768071,0.171149913,0.157894737,0.285714286,0.115985272,0.022212045,0.19927686,0.242749054,0.180035651,0.34351145,0.89010989,0.960526316,0.445040214,0.09375,0.02216902,0.321670429,0.787817859,No,0.4
467,Rockhurst College,0.017786849,0.029933734,0.048765141,0.221052632,0.450549451,0.031361097,0.034485917,0.369318182,0.365699874,0.180035651,0.190839695,0.571428571,0.723684211,0.219839142,0.328125,0.081682282,0.296839729,0.902542874,Yes,0.78
190,Eureka College,0.009976465,0.014547947,0.012269939,0.368421053,0.516483516,0.01095099,0.00068697,0.444989669,0.263240858,0.104278075,0.064122137,0.593406593,0.828947368,0.217158177,0.484375,0.120006786,0.110609481,0.776108811,Yes,0.48
2,Adrian College,0.028054902,0.039035722,0.047349379,0.221052632,0.450549451,0.028472575,0.004488207,0.460227273,0.310529634,0.135472371,0.139694656,0.494505495,0.552631579,0.278820375,0.46875,0.10460535,0.208239278,0.725842697,Yes,0.49
242,Hardin-Simmons University,0.008039489,0.013405438,0.049551675,0.157894737,0.340659341,0.038915693,0.015250744,0.204545455,0.189155107,0.26916221,0.288549618,0.736263736,0.723684211,0.300268097,0.15625,0.07291647,0.26523702,0.891070373,Yes,0.31
316,Louisiana State University at Baton Rouge,0.123195801,0.187409551,0.478842221,0.294736842,0.527472527,0.511998476,0.172017403,0.18517562,0.189155107,0.22459893,0.304122137,0.824175824,0.828947368,0.35924933,0.171875,0.067016042,0.265462754,0.802128918,No,0.3
37,Barry University,0.018932372,0.027115546,0.038382885,0.178947368,0.395604396,0.053072626,0.14394321,0.462293388,0.564312736,0.22459893,0.236641221,0.747252747,0.710526316,0.27077748,0.171875,0.111184421,0.484198646,0.753873448,Yes,0.7
240,Hampton University,0.147814134,0.140262015,0.219915054,0.252631579,0.593406593,0.142331133,0.033844745,0.249018595,0.273959647,0.22459893,0.267175573,0.571428571,0.526315789,0.308310992,0.140625,0.067958603,0.298871332,0.435955056,Yes,0.67
463,Rider University,0.073001062,0.089572702,0.1093283,0.157894737,0.241758242,0.082814881,0.059903824,0.563533058,0.573770492,0.26916221,0.435114504,0.835164835,0.894736842,0.262734584,0.359375,0.152939846,0.648984199,0.616794796,Yes,0.67
500,San Diego State University,0.194134922,0.264605073,0.332861413,0.2,0.67032967,0.516378873,0.254133272,0.312190083,0.524905422,0.229946524,0.328244275,0.868131868,0.907894737,0.455764075,0.109375,0.089430128,0.525056433,0.700295683,No,0.35
577,Transylvania University,0.014121176,0.025020946,0.032877143,0.589473684,0.791208791,0.023108177,0.002289902,0.44214876,0.420870113,0.180035651,0.114503817,0.802197802,0.881578947,0.257372654,0.640625,0.132580542,0.279909707,0.953282082,Yes,0.67
258,Husson College,0.013371379,0.022088506,0.051282051,0.094736842,0.230769231,0.025774505,0.032287612,0.282024793,0.349936948,0.113190731,0.190839695,0.307692308,0.263157895,0.522788204,0.0625,0.032744547,0.268623025,0.883855707,Yes,0.83
612,University of Indianapolis,0.029283736,0.045852693,0.055529338,0.263157895,0.461538462,0.040566277,0.07533776,0.453512397,0.362547289,0.191176471,0.176335878,0.516483516,0.421052632,0.230563003,0.359375,0.066902935,0.286681716,0.832170313,Yes,0.66
576,Tiffin University,0.015912357,0.025211364,0.034450212,0.042105263,0.131868132,0.016601067,0.016029311,0.271694215,0.318411097,0.22459893,0.145038168,0.56043956,0.657894737,0.442359249,0.625,0.036005806,0.240406321,0.844589001,Yes,0.33
641,University of North Carolina at Wilmington,0.124757878,0.144108462,0.222431965,0.147368421,0.637362637,0.206196039,0.052392947,0.269524793,0.299495586,0.180035651,0.190839695,0.813186813,0.802631579,0.445040214,0.234375,0.053141554,0.249435666,0.568539326,No,0.51
53,Birmingham-Southern College,0.015079249,0.019651154,0.03964134,0.694736842,0.868131868,0.039264855,0.009434394,0.481404959,0.401166456,0.135472371,0.099236641,0.725274725,0.723684211,0.308310992,0.53125,0.102984146,0.243227991,0.681135423,Yes,0.7
568,Tennessee Wesleyan College,0.003144982,0.004189199,0.010067642,0.063157895,0.21978022,0.008348146,0.010808335,0.244318182,0.293190416,0.135472371,0.443969466,0.56043956,0.539473684,0.171581769,0.25,0.058438743,0.420767494,0.74512123,Yes,0.29
296,Lamar University,0.046966447,0.062952243,0.158565361,0.094736842,0.197802198,0.168200863,0.18580261,0.124586777,0.198612863,0.183600713,0.18519084,0.43956044,0.763157895,0.426273458,0.1875,0.050766302,0.173927765,0.69059728,No,0.18
315,Louisiana College,0.040239102,0.037360043,0.027843322,0.336842105,0.571428571,0.024536567,0.007190291,0.145144628,0.197982346,0.180035651,0.214503817,0.615384615,0.657894737,0.214477212,0.171875,0.082210116,0.194243792,0.435955056,Yes,0.55
381,Mount Holyoke College,0.035802803,0.047299871,0.077237691,0.484210526,0.769230769,0.055611986,0.001786123,0.876033058,0.617906683,0.29144385,0.076335878,0.78021978,0.881578947,0.174262735,0.796875,0.28602937,0.420993228,0.68066233,Yes,0.83
98,Central College,0.025034886,0.039645061,0.057574328,0.315789474,0.615384615,0.038598273,0.001786123,0.44411157,0.296343001,0.24688057,0.053435115,0.747252747,0.868421053,0.294906166,0.453125,0.099119649,0.162528217,0.843287995,Yes,0.64
11,Allegheny College,0.053547997,0.069616879,0.070630801,0.452631579,0.747252747,0.049771458,0.001969315,0.761363636,0.419293821,0.135472371,0.053435115,0.714285714,0.881578947,0.198391421,0.640625,0.160706543,0.22234763,0.664577173,Yes,0.74
139,Columbia College,0.013662966,0.020641328,0.032562529,0.210526316,0.637362637,0.026314119,0.010808335,0.417613636,0.345996217,0.180035651,0.190839695,0.582417582,0.697368421,0.327077748,0.53125,0.103813599,0.282731377,0.802602011,Yes,0.74
628,University of Mississippi,0.078374607,0.126094904,0.257039484,0.263157895,0.417582418,0.234414678,0.036775819,0.133057851,0.31998739,0.22459893,0.045801527,0.802197802,0.815789474,0.477211796,0.21875,0.07135182,0.168171558,0.85819042,No,0.48
35,Bard College,0.03809385,0.029172062,0.039326726,0.515789474,0.835164835,0.027456831,0.000641172,0.874173554,0.697667087,0.29144385,0.076335878,0.989010989,0.973684211,0.211796247,0.46875,0.201858729,0.478103837,0.336132466,Yes,0.78
485,Saint Joseph's University,0.050777914,0.073539493,0.116564417,0.4,0.681318681,0.07408583,0.060132814,0.537706612,0.7203657,0.113190731,0.219847328,0.835164835,0.868421053,0.399463807,0.203125,0.095330556,0.55530474,0.757776464,Yes,0.82
694,Vanderbilt University,0.160581509,0.175870211,0.23029731,0.736842105,0.912087912,0.170168867,0.004076025,0.801911157,0.74795082,0.237967914,0.107175573,0.934065934,0.973684211,0.08847185,0.40625,0.38954135,0.523363431,0.52927262,Yes,0.82
547,Stonehill College,0.074250724,0.084850331,0.086518798,0.252631579,0.659340659,0.059770188,0.042363178,0.507747934,0.692307692,0.171122995,0.083969466,0.78021978,0.723684211,0.28150134,0.46875,0.081229853,0.449435666,0.563335305,Yes,0.98
364,Millsaps College,0.017162019,0.029019727,0.044675161,0.326315789,0.571428571,0.029647029,0.008152049,0.463842975,0.413303909,0.202317291,0.167938931,0.813186813,0.855263158,0.273458445,0.59375,0.151412898,0.319638826,0.907155529,Yes,0.54
128,College of Saint Elizabeth,0.007560452,0.010930002,0.013685701,0.347368421,0.483516484,0.011236668,0.044286696,0.44214876,0.546973518,0.126559715,0.114503817,0.659340659,0.605263158,0.238605898,0.359375,0.11802741,0.356659142,0.773625074,Yes,0.76
291,La Salle University,0.059317268,0.067103359,0.092339154,0.2,0.516483516,0.082497461,0.076070529,0.529958678,0.60372005,0.157754011,0.444274809,0.901098901,0.868421053,0.337801609,0.140625,0.111184421,0.648984199,0.557894737,Yes,0.83
412,Northwest Missouri State University,0.05515173,0.093799985,0.192229039,0.073684211,0.21978022,0.147536821,0.021570872,0.072055785,0.213745271,0.068627451,0.210687023,0.593406593,0.539473684,0.514745308,0.359375,0.039549833,0.174492099,0.915907747,No,0.49
523,Southwest Baptist University,0.021077625,0.038883388,0.095485292,0.115789474,0.252747253,0.051771204,0.044240898,0.244318182,0.113493064,0.135472371,0.114503817,0.483516484,0.394736842,0.35924933,0.203125,0.02888005,0.048532731,1,Yes,0.69
622,University of Massachusetts at Dartmouth,0.068023244,0.09616117,0.152745006,0.094736842,0.307692308,0.143632555,0.074604992,0.236518595,0.428751576,0.180035651,0.152671756,0.725274725,0.868421053,0.335120643,0.3125,0.080607763,0.313769752,0.734949734,No,0.52
94,Cedarville College,0.025534751,0.038769137,0.091395312,0.252631579,0.505494505,0.065293296,0.00370964,0.258471074,0.414564943,0.211229947,0.114503817,0.461538462,0.368421053,0.343163539,0.53125,0.069956831,0.283295711,0.80366647,Yes,0.61
739,Westminster College PA,0.034511486,0.049546805,0.060091238,0.210526316,0.505494505,0.037963433,0.001328143,0.832644628,0.660466583,0.26916221,0.091603053,0.923076923,0.947368421,0.286863271,0.640625,0.367937866,0.457110609,0.751626257,Yes,0.69
465,Rivier College,0.00839356,0.01195826,0.016674532,0.052631579,0.208791209,0.014315642,0.054728647,0.388946281,0.485498108,0.22459893,0.129770992,0.56043956,0.460526316,0.260053619,0.296875,0.067072596,0.348758465,0.760496747,Yes,0.8
290,La Roche College,0.005831754,0.009482824,0.023596036,0.094736842,0.351648352,0.016220163,0.037462789,0.335847107,0.473203026,0.22459893,0.129770992,0.538461538,0.644736842,0.313672922,0.21875,0.072313232,0.339954853,0.868953282,Yes,0.47
175,Eastern College,0.00785204,0.011310839,0.020449898,0.157894737,0.362637363,0.029139157,0.016212503,0.457128099,0.476040353,0.157754011,0.149618321,0.571428571,0.473684211,0.297587131,0.34375,0.093294626,0.33972912,0.770195151,Yes,0.49
585,Tusculum College,0.011351092,0.011425089,0.01730376,0.115789474,0.274725275,0.026790249,0.001786123,0.276859504,0.255359395,0.157754011,0.083969466,0.681318681,0.605263158,0.520107239,0.4375,0.032933059,0.133182844,0.520047309,Yes,0.47
29,Augustana College,0.014162831,0.024868611,0.042630171,0.210526316,0.538461538,0.038026917,0.013693611,0.446797521,0.230769231,0.22459893,0.117709924,0.637362637,0.605263158,0.211796247,0.46875,0.069466699,0.15744921,0.944056771,Yes,0.66
662,University of South Florida,0.156374315,0.17533704,0.289602014,0.294736842,0.593406593,0.464417217,0.501992214,0.228305785,0.314627995,0.180035651,0.294656489,0.835164835,0.855263158,0.388739946,0.109375,0.147680359,0.337020316,0.546067416,No,0.42
589,Univ. of Wisconsin at OshKosh,0.098285881,0.10770051,0.232814221,0.136842105,0.428571429,0.242032758,0.067368903,0.234194215,0.096784363,0.188057041,0.250381679,0.714285714,0.710526316,0.44772118,0.21875,0.051181028,0.1503386,0.53187463,No,0.52
626,University of Minnesota at Morris,0.028679733,0.030543073,0.086990719,0.578947368,0.846153846,0.054183596,0.007007099,0.387551653,0.220680958,0.22459893,0.190839695,0.725274725,0.710526316,0.324396783,0.25,0.066544762,0.204288939,0.526315789,No,0.46
28,Augustana College IL,0.037448191,0.06040064,0.07267579,0.368421053,0.659340659,0.057484764,0.001694527,0.568853306,0.37720681,0.197860963,0.087175573,0.769230769,0.776315789,0.273458445,0.625,0.113748186,0.232957111,0.860910704,Yes,0.69
733,Westfield State College,0.062878804,0.079137787,0.124272456,0.021052632,0.120879121,0.098241493,0.043050149,0.165392562,0.316519546,0.180035651,0.160305344,0.736263736,0.723684211,0.353887399,0.3125,0.019529851,0.239051919,0.637492608,No,0.62
66,Briar Cliff College,0.006477412,0.010625333,0.018876829,0.157894737,0.384615385,0.019013459,0.019647355,0.409090909,0.286412358,0.22459893,0.190839695,0.340659341,0.552631579,0.284182306,0.40625,0.097441891,0.251354402,0.876286221,Yes,0.54
353,Meredith College,0.016162289,0.026658542,0.053641655,0.252631579,0.538461538,0.050215846,0.021479276,0.226239669,0.231715006,0.157754011,0.19389313,0.758241758,0.763157895,0.305630027,0.515625,0.069655211,0.19751693,0.882672975,Yes,0.81
231,Greensboro College,0.010976194,0.016071293,0.022180274,0.094736842,0.241758242,0.016188421,0.014334784,0.309400826,0.313682219,0.202317291,0.160305344,0.615384615,0.736842105,0.28150134,0.484375,0.089788301,0.242663657,0.778237729,Yes,0.33
427,Oklahoma State University,0.092495782,0.146279229,0.33758062,0.294736842,0.527472527,0.402837735,0.075887337,0.154752066,0.246532156,0.31372549,0.435114504,0.835164835,0.894736842,0.343163539,0.21875,0.06120987,0.425959368,0.840685985,No,0.43
610,University of Illinois - Urbana,0.309457855,0.441008455,0.891930156,0.536842105,0.868131868,0.802533012,0.041676208,0.269628099,0.440416141,0.180035651,0.264427481,0.868131868,0.868421053,0.399463807,0.203125,0.101287537,0.404740406,0.739798936,No,0.8
411,Northern Illinois University,0.221294233,0.272183715,0.371558911,0.115789474,0.307692308,0.466194769,0.090588505,0.28197314,0.238965952,0.166666667,0.229007634,0.714285714,0.710526316,0.396782842,0.171875,0.054668502,0.230925508,0.614784151,No,0.52
