college_name,no_of_applications,no_of_apps_accepted,no_of_enrolled,PctTop10HS,PctTop25HS,no_of_FT,no_of_PT,outstate_tuition,room_board_cost,books_cost,personal_spending,pct_phd_faculty,pct_termianl_faculty,sf_ratio,pct_alumni_donors,exp_per_student,total_misc_cost,accept_rate,is_private,grad_rate_round
Abilene Christian University,0.032886926,0.044177013,0.107912537,0.231578947,0.472527473,0.087163535,0.024547744,0.263429752,0.239596469,0.157754011,0.297709924,0.681318681,0.710526316,0.418230563,0.1875,0.072671405,0.279909707,0.695091662,Yes,0.56
Adelphi University,0.043842293,0.070530886,0.075035394,0.157894737,0.21978022,0.080751651,0.056148386,0.513429752,0.736128625,0.29144385,0.190839695,0.230769231,0.078947368,0.260053619,0.25,0.138386714,0.590293454,0.85819042,Yes,0.52
Adrian College,0.028054902,0.039035722,0.047349379,0.221052632,0.450549451,0.028472575,0.004488207,0.460227273,0.310529634,0.135472371,0.139694656,0.494505495,0.552631579,0.278820375,0.46875,0.10460535,0.208239278,0.725842697,Yes,0.49
Agnes Scott College,0.006998105,0.010549166,0.016045304,0.621052632,0.879120879,0.011776282,0.002839478,0.548553719,0.578499369,0.157754011,0.095419847,0.923076923,0.960526316,0.139410188,0.578125,0.298414613,0.373024831,0.807096393,Yes,0.55
Alaska Pacific University,0.002332702,0.002818189,0.003146138,0.157894737,0.384615385,0.00349162,0.039752691,0.269628099,0.368852459,0.31372549,0.190839695,0.747252747,0.631578947,0.252010724,0.03125,0.145832941,0.332957111,0.712004731,Yes,0.06
Albertson College,0.010538812,0.015500038,0.019348749,0.389473684,0.582417582,0.017108939,0.001831921,0.576446281,0.245113493,0.180035651,0.064885496,0.648351648,0.644736842,0.184986595,0.171875,0.123305748,0.11738149,0.782377292,Yes,0.51
Albertus Magnus College,0.005665132,0.010206413,0.01069687,0.168421053,0.395604396,0.008792534,0.010487749,0.565599174,0.621059269,0.180035651,0.190839695,0.901098901,0.907894737,0.241286863,0.40625,0.106980602,0.479683973,0.956475458,Yes,0.6
Albion College,0.037864745,0.062761825,0.071417335,0.378947368,0.648351648,0.046184611,0.001419739,0.595454545,0.480138714,0.157754011,0.091603053,0.89010989,1,0.300268097,0.578125,0.156483873,0.299774266,0.888468362,Yes,0.71
Albright College,0.019932102,0.029210145,0.030202926,0.305263158,0.593406593,0.026472829,0.013968399,0.684659091,0.412988651,0.090909091,0.038167939,0.78021978,0.789473684,0.235924933,0.359375,0.159443512,0.195259594,0.773270254,Yes,0.79
Alderson-Broaddus College,0.010434674,0.016223627,0.021551046,0.210526316,0.384615385,0.020949721,0.003526448,0.419834711,0.25220681,0.251336898,0.236641221,0.351648352,0.223684211,0.241286863,0.234375,0.109431259,0.267494357,0.829331756,Yes,0.47
Alfred University,0.03438652,0.051527154,0.068743118,0.378947368,0.725274725,0.053675724,0.004991985,0.733884298,0.571563682,0.180035651,0.053435115,0.813186813,0.842105263,0.235924933,0.484375,0.146021453,0.342663657,0.790301597,Yes,0.71
Allegheny College,0.053547997,0.069616879,0.070630801,0.452631579,0.747252747,0.049771458,0.001969315,0.761363636,0.419293821,0.135472371,0.053435115,0.714285714,0.881578947,0.198391421,0.640625,0.160706543,0.22234763,0.664577173,Yes,0.74
Allentown Coll. of St. Francis de Sales,0.022868806,0.026963211,0.040113261,0.389473684,0.604395604,0.031456323,0.029173346,0.37964876,0.473675914,0.22459893,0.114503817,0.571428571,0.789473684,0.289544236,0.328125,0.08961864,0.329006772,0.599763454,Yes,0.72
Alma College,0.024701643,0.038388301,0.055057417,0.452631579,0.703296703,0.037042915,0.001236547,0.528512397,0.436948298,0.135472371,0.022900763,0.78021978,0.828947368,0.343163539,0.5,0.115350538,0.21241535,0.82542874,Yes,0.65
Alverno College,0.008601837,0.009178155,0.019191443,0.231578947,0.406593407,0.037392077,0.05651477,0.31053719,0.293190416,0.24688057,0.335725191,0.307692308,0.592105263,0.230563003,0.40625,0.093143816,0.368961625,0.566646954,Yes,0.51
American International College,0.02788828,0.038883388,0.029101778,0.084210526,0.142857143,0.027901219,0.013098237,0.328512397,0.472887768,0.157754011,0.175572519,0.769230769,0.789473684,0.327077748,0.296875,0.078590684,0.356659142,0.727616795,Yes,0.66
Anderson University,0.023639431,0.031837916,0.061035079,0.189473684,0.340659341,0.053326562,0.012823449,0.400826446,0.274274905,0.202317291,0.129770992,0.43956044,0.486842105,0.257372654,0.21875,0.090636605,0.191873589,0.700413956,Yes,0.55
Andrews University,0.021848249,0.024068855,0.045147082,0.136842105,0.153846154,0.045930675,0.01488436,0.395454545,0.206494325,0.35828877,0.163358779,0.593406593,0.552631579,0.241286863,0.28125,0.145569024,0.207674944,0.554109994,Yes,0.4
Angelo State University,0.072042988,0.073463325,0.154318075,0.242105263,0.494505495,0.128586846,0.069200824,0.14411157,0.285624212,0.180035651,0.267175573,0.571428571,0.5,0.55227882,0.078125,0.015533395,0.295936795,0.485866351,No,0.27
Antioch University,0.013163102,0.022431259,0.034135599,0.252631579,0.384615385,0.018188167,0.001007557,0.678512397,0.245271122,0.135472371,0.129770992,0.67032967,0.763157895,0.235924933,0.546875,0.749146983,0.154176072,0.913778829,Yes,0.43
Appalachian State University,0.150625872,0.174880037,0.294950448,0.2,0.593406593,0.311103352,0.047355164,0.230681818,0.119798235,0,0.267175573,0.824175824,0.947368421,0.423592493,0.21875,0.050295021,0.131602709,0.571614429,No,0.67
Aquinas College,0.011205299,0.016909132,0.028944471,0.2,0.461538462,0.035297105,0.035081292,0.458057851,0.369482976,0.113190731,0.208396947,0.516483516,0.539473684,0.273458445,0.390625,0.064056403,0.295598194,0.803193377,Yes,0.62
Arizona State University Main campus,0.26509487,0.389824054,0.586125531,0.242105263,0.43956044,0.712734891,0.347332265,0.263119835,0.483921816,0.26916221,0.282442748,0.879120879,0.907894737,0.439678284,0.078125,0.02669331,0.471783296,0.769012419,No,0.43
Arkansas College (Lyon College),0.013058963,0.009977911,0.020607205,0.473684211,0.714285714,0.012411122,0.008289444,0.325619835,0.337641866,0.180035651,0.083969466,0.78021978,0.842105263,0.27077748,0.375,0.214771806,0.197742664,0.375280899,Yes,0.49
Arkansas Tech University,0.034428176,0.063104578,0.144093126,0.115789474,0.472527473,0.10992255,0.042958553,0.05785124,0.137137453,0.157754011,0.114503817,0.538461538,0.473684211,0.45844504,0.078125,0.029275925,0.071106095,0.996570077,No,0.43
Assumption College,0.04278008,0.062000152,0.071731949,0.231578947,0.549450549,0.0498032,0.031509045,0.498966942,0.65258512,0.180035651,0.038167939,0.934065934,0.907894737,0.302949062,0.46875,0.073783626,0.389390519,0.759077469,Yes,0.88
Auburn University-Main Campus,0.15552038,0.255883921,0.477426459,0.252631579,0.527472527,0.511776282,0.078543623,0.204545455,0.339375788,0.22459893,0.253129771,0.846153846,0.881578947,0.380697051,0.28125,0.065149773,0.335327314,0.881371969,No,0.66
Augsburg College,0.012100889,0.016794882,0.034922133,0.115789474,0.230769231,0.061420772,0.033203572,0.493904959,0.408575032,0.197860963,0.106870229,0.626373626,0.539473684,0.27613941,0.484375,0.087658115,0.269977427,0.733767002,Yes,0.54
Augustana College IL,0.037448191,0.06040064,0.07267579,0.368421053,0.659340659,0.057484764,0.001694527,0.568853306,0.37720681,0.197860963,0.087175573,0.769230769,0.776315789,0.273458445,0.625,0.113748186,0.232957111,0.860910704,Yes,0.69
Augustana College,0.014162831,0.024868611,0.042630171,0.210526316,0.538461538,0.038026917,0.013693611,0.446797521,0.230769231,0.22459893,0.117709924,0.637362637,0.605263158,0.211796247,0.46875,0.069466699,0.15744921,0.944056771,Yes,0.66
Austin College,0.018057609,0.027648717,0.040899796,0.431578947,0.714285714,0.031138903,0.000641172,0.46177686,0.403846154,0.135472371,0.13740458,0.802197802,0.934210526,0.28150134,0.515625,0.154108621,0.273363431,0.81289178,Yes,0.69
Averett College,0.01137192,0.018432478,0.021551046,0.157894737,0.340659341,0.020251397,0.024593542,0.39178719,0.371216898,0.29144385,0.167938931,0.56043956,0.565789474,0.533512064,0.171875,0.062906479,0.312076749,0.866114725,Yes,0.43
Baker University,0.010851228,0.015652373,0.026899481,0.210526316,0.417582418,0.025996699,0.021296084,0.324380165,0.365699874,0.135472371,0.305343511,0.549450549,0.578947368,0.227882038,0.328125,0.055611062,0.37020316,0.766173862,Yes,0.62
Baldwin-Wallace College,0.033511757,0.049280219,0.09863143,0.305263158,0.571428571,0.081862621,0.066819327,0.447055785,0.414564943,0.40285205,0.114503817,0.659340659,0.657894737,0.404825737,0.3125,0.092370916,0.331828442,0.773270254,Yes,0.84
Barat College,0.003748985,0.004570036,0.011955325,0.147368421,0.296703297,0.009966988,0.012136478,0.37964876,0.397225725,0.180035651,0.038167939,0.538461538,0.697368421,0.193029491,0.546875,0.115953777,0.206546275,0.68728563,Yes,0.69
Bard College,0.03809385,0.029172062,0.039326726,0.515789474,0.835164835,0.027456831,0.000641172,0.874173554,0.697667087,0.29144385,0.076335878,0.989010989,0.973684211,0.211796247,0.46875,0.201858729,0.478103837,0.336132466,Yes,0.78
Barnard College,0.050298877,0.05065123,0.078024225,0.547368421,0.945054945,0.062912646,0.003114266,0.805061983,1,0.22459893,0.091603053,0.824175824,0.907894737,0.209115282,0.515625,0.177088243,0.688939052,0.481608516,Yes,0.91
Barry University,0.018932372,0.027115546,0.038382885,0.178947368,0.395604396,0.053072626,0.14394321,0.462293388,0.564312736,0.22459893,0.236641221,0.747252747,0.710526316,0.27077748,0.171875,0.111184421,0.484198646,0.753873448,Yes,0.7
Baylor University,0.124841189,0.200967324,0.366839704,0.347368421,0.626373626,0.31043677,0.022120449,0.212293388,0.337326608,0.22459893,0.167328244,0.692307692,0.684210526,0.428954424,0.59375,0.081380662,0.270428894,0.858663513,Yes,0.7
Beaver College,0.022535563,0.029629065,0.049237062,0.231578947,0.516483516,0.023457339,0.02372338,0.542871901,0.570617907,0.135472371,0.083969466,0.769230769,0.855263158,0.260053619,0.46875,0.108733764,0.353273138,0.681726789,Yes,0.71
Bellarmine College,0.015120905,0.024183106,0.042944785,0.4,0.593406593,0.033614779,0.027662011,0.335743802,0.18442623,0.29144385,0.158778626,0.725274725,0.763157895,0.284182306,0.484375,0.065639904,0.171557562,0.853459491,Yes,0.83
Belmont Abbey College,0.011476059,0.016071293,0.014786849,0.168421053,0.296703297,0.018092941,0.005953744,0.344008264,0.483921816,0.090909091,0.340458015,0.769230769,0.802631579,0.286863271,0.15625,0.082266669,0.469525959,0.741691307,Yes,0.47
Belmont University,0.023722742,0.034351436,0.07015888,0.284210526,0.637362637,0.057929152,0.028486375,0.282024793,0.296973518,0.24688057,0.099236641,0.582417582,0.486842105,0.230563003,0.296875,0.083473146,0.196839729,0.761561206,Yes,0.44
Beloit College,0.025805511,0.032409171,0.03916942,0.263157895,0.494505495,0.030027933,0.003663842,0.721280992,0.289407314,0.115418895,0.070992366,0.868131868,0.934210526,0.230563003,0.40625,0.184195148,0.13724605,0.644234181,Yes,0.66
